read1,read2,ns-diff
4641,4298,720.310938
4235,4326,-191.102902
4361,4410,-102.901563
4242,4291,-102.901563
4249,4305,-117.601786
4207,4305,-205.803125
4256,4298,-88.201339
4221,4319,-205.803125
4284,4312,-58.800893
4200,4277,-161.702455
4270,4396,-264.604018
5369,4312,2219.733706
4256,4284,-58.800893
4221,4305,-176.402679
4263,4277,-29.400446
4872,4284,1234.818751
4277,4270,14.700223
4179,4284,-220.503348
4242,4249,-14.700223
5075,4305,1617.024554
4249,4382,-279.304241
4256,4298,-88.201339
4242,4291,-102.901563
4214,4333,-249.903795
4256,4557,-632.109599
4228,4284,-117.601786
4501,4305,411.606250
4256,4298,-88.201339
4298,4291,14.700223
4228,4417,-396.906027
4298,4298,0.000000
5096,4305,1661.125224
4277,4319,-88.201339
4564,4375,396.906027
4277,4312,-73.501116
4550,4284,558.608482
4466,4263,426.306473
4319,4340,-44.100670
4515,4312,426.306473
4200,4312,-235.203572
4298,4277,44.100670
4228,4312,-176.402679
4340,4396,-117.601786
4256,4417,-338.105134
4249,4606,-749.711384
4186,4326,-294.004464
4221,4291,-147.002232
4214,4410,-411.606250
4284,4291,-14.700223
4550,4284,558.608482
4263,4256,14.700223
4242,4403,-338.105134
4494,4270,470.407143
4228,4277,-102.901563
4256,4298,-88.201339
4620,4221,837.912724
4368,4298,147.002232
4214,4291,-161.702455
4284,4312,-58.800893
4228,4298,-147.002232
4235,4284,-102.901563
4235,4319,-176.402679
4277,4305,-58.800893
4256,4410,-323.404911
4256,4634,-793.812054
4228,4298,-147.002232
4256,4263,-14.700223
4179,4410,-485.107366
4242,4298,-117.601786
4200,4326,-264.604018
4284,4284,0.000000
4431,4291,294.004464
4284,4256,58.800893
4263,4291,-58.800893
4480,4305,367.505581
4249,4298,-102.901563
4263,4277,-29.400446
4249,4382,-279.304241
4529,4270,543.908259
4221,4298,-161.702455
4263,4305,-88.201339
4228,4403,-367.505581
4270,4298,-58.800893
4242,4403,-338.105134
4249,4515,-558.608482
4228,4382,-323.404911
4277,4298,-44.100670
4473,4319,323.404911
4263,4396,-279.304241
4326,4242,176.402679
4354,4291,132.302009
5215,4270,1984.530135
4319,4347,-58.800893
4221,4319,-205.803125
4256,4305,-102.901563
4893,4319,1205.418304
4270,4284,-29.400446
4200,4270,-147.002232
4242,4291,-102.901563
4235,4270,-73.501116
4263,4277,-29.400446
4228,4305,-161.702455
4515,4284,485.107366
4228,4396,-352.805357
4508,4816,-646.809822
4529,4291,499.807590
4291,4305,-29.400446
